common_id,name,address_pref,address_city,address_detail,contact,flood,landslide,storm_surge,earthquake,tsunami,large_fire,inland_flood,volcano,shelter_overlap,capacity,capacity_basis,notes,changed,new,address,gsi_common_id,latitude,longitude,coordinate_join_method
E3820100100201,済美平成中等教育学校グラウンド,愛媛県,松山市空港通,5-6-3,(089)965-1551,,1,1,1,1,,,,1,16025,1.0,,,,愛媛県松山市空港通5-6-3,E3820100100201,33.82679938,132.7331803,matched_by_id
E3820100103201,窪野公園,愛媛県,松山市窪野町甲,295-1,,1,,1,1,1,,,,,2400,1.0,,,,愛媛県松山市窪野町甲295-1,E3820100103201,33.74042768,132.8382987,matched_by_id
E3820100107201,松山東雲女子大学・短期大学グラウンド,愛媛県,松山市桑原,3-2-1,(089)931-6211,1,1,1,1,1,,,,1,3848,1.0,,,,愛媛県松山市桑原3-2-1,E3820100107201,33.83288688,132.7965033,matched_by_id
E3820100108201,桑原小学校グラウンド,愛媛県,松山市桑原,3-7-27,(089)945-5051,,1,1,1,1,,,,1,8105,1.0,,,,愛媛県松山市桑原3-7-27,E3820100108201,33.83471669,132.7946,matched_by_id
E3820100109201,桑原保育園グラウンド,愛媛県,松山市桑原,4-10-22,(089)931-0828,1,1,1,1,1,,,,1,707,1.0,,,,愛媛県松山市桑原4-10-22,E3820100109201,33.83247794,132.7945902,matched_by_id
E3820100110201,経石山公園,愛媛県,松山市桑原４－４０８外,,,1,1,1,1,1,,,,,1200,1.0,,,,愛媛県松山市桑原４－４０８外,E3820100110201,33.83061868,132.7940325,matched_by_id
E3820100112201,恵原公園,愛媛県,松山市恵原町甲,445-1,,1,1,1,1,1,,,,,2100,1.0,,,,愛媛県松山市恵原町甲445-1,E3820100112201,33.76592346,132.8092623,matched_by_id
E3820100116201,権現公園,愛媛県,松山市権現町甲１６２－１外,,,1,1,1,1,1,,,,,2000,1.0,,,,愛媛県松山市権現町甲１６２－１外,E3820100116201,33.90108433,132.7638115,matched_by_id
E3820100118201,怒和小学校グラウンド,愛媛県,松山市元怒和甲,8-2,(089)999-0234,1,,,1,,,,,1,2500,1.0,,,,愛媛県松山市元怒和甲8-2,E3820100118201,33.97296094,132.5490908,matched_by_id
E3820100119201,元怒和保育所グラウンド,愛媛県,松山市元怒和甲,925-1,(089)999-0001,1,,,1,1,,,,1,173,1.0,,,,愛媛県松山市元怒和甲925-1,E3820100119201,33.97541901,132.5427031,matched_by_id
E3820100120201,宮前公園,愛媛県,松山市古三津,1-1479-2,,,1,,1,,,,,,2900,1.0,,,,愛媛県松山市古三津1-1479-2,E3820100120201,33.85694053,132.7233844,matched_by_id
E3820100126201,古川公園,愛媛県,松山市古川西,2-1044-1,,,1,1,1,1,,,,,2500,1.0,,,,愛媛県松山市古川西2-1044-1,E3820100126201,33.80793499,132.7587037,matched_by_id
E3820100130201,古川南公園,愛媛県,松山市古川南３－７９２－２外,,,,1,1,1,1,,,,,1800,1.0,,,,愛媛県松山市古川南３－７９２－２外,E3820100130201,33.80495561,132.7638528,matched_by_id
E3820100131201,北古川公園,愛媛県,松山市古川北,1-135-1,,,1,1,1,1,,,,,1600,1.0,,,,愛媛県松山市古川北1-135-1,E3820100131201,33.81392043,132.7627644,matched_by_id
E3820100132201,つばき保育園グラウンド,愛媛県,松山市古川北,2-18-30,(089)956-7670,,1,1,1,1,,,,1,1714,1.0,,,,愛媛県松山市古川北2-18-30,E3820100132201,33.81282758,132.7627923,matched_by_id
E3820100133201,学校法人松山大学御幸キャンパスグラウンド,愛媛県,松山市御幸１－３２０－１外,,(089)926-7271,,,1,1,1,,,,1,30868,1.0,,,,愛媛県松山市御幸１－３２０－１外,E3820100133201,33.85501806,132.7655169,matched_by_id
E3820100136201,光洋台緑地Ｃ,愛媛県,松山市光洋台,1-68,,1,,1,1,1,,,,,300,1.0,,,,愛媛県松山市光洋台1-68,E3820100136201,33.92400512,132.764934,matched_by_id
E3820100137201,光洋台緑地Ａ,愛媛県,松山市光洋台,3-34,,1,,1,1,1,,,,,600,1.0,,,,愛媛県松山市光洋台3-34,E3820100137201,33.92071111,132.7621713,matched_by_id
E3820100138201,光洋台緑地Ｂ,愛媛県,松山市光洋台,7-58,,1,,1,1,1,,,,,2700,1.0,,,,愛媛県松山市光洋台7-58,E3820100138201,33.92309042,132.7617099,matched_by_id
E3820100139201,観月山公園,愛媛県,松山市港山町,2021,,1,,,1,1,,,,,2600,1.0,,,,愛媛県松山市港山町2021,E3820100139201,33.86871002,132.7154274,matched_by_id
E3820100143201,八白公園,愛媛県,松山市溝辺町甲,135,,1,1,1,1,1,,,,,3100,1.0,,,,愛媛県松山市溝辺町甲135,E3820100143201,33.84742287,132.8069588,matched_by_id
E3820100146201,神前公園,愛媛県,松山市溝辺町甲,437-4,,,1,1,1,1,,,,,2300,1.0,,,,愛媛県松山市溝辺町甲437-4,E3820100146201,33.85175897,132.8074828,matched_by_id
E3820100147201,湯山中学校グラウンド,愛媛県,松山市溝辺町甲,508-1,(089)977-0402,,,1,1,1,,,,1,8942,1.0,,,,愛媛県松山市溝辺町甲508-1,E3820100147201,33.85265926,132.8058222,matched_by_id
E3820100148201,小百合保育園グラウンド,愛媛県,松山市溝辺町甲,528,(089)977-0228,,1,1,1,1,,,,1,513,1.0,,,,愛媛県松山市溝辺町甲528,E3820100148201,33.85290874,132.8065088,matched_by_id
E3820100149201,溝辺公園,愛媛県,松山市溝辺町甲７２１－４外,,,1,,1,1,1,,,,,1800,1.0,,,,愛媛県松山市溝辺町甲７２１－４外,E3820100149201,33.85328465,132.8033225,matched_by_id
E3820100151201,たかい公園,愛媛県,松山市高井町１１０５外,,,,1,1,1,1,,,,,1800,1.0,,,,愛媛県松山市高井町１１０５外,E3820100151201,33.79525232,132.812292,matched_by_id
E3820100154201,西中学校グラウンド,愛媛県,松山市高岡町,409,(089)971-6226,,1,,1,1,,,,1,11564,1.0,,,,愛媛県松山市高岡町409,E3820100154201,33.82570951,132.7174712,matched_by_id
E3820100155201,高岡みなみ公園,愛媛県,松山市高岡町,46-1,,,1,1,1,1,,,,,1000,1.0,,,,愛媛県松山市高岡町46-1,E3820100155201,33.82597662,132.7243292,matched_by_id
E3820100157201,高岡中央公園,愛媛県,松山市高岡町５８２－５外,,,,1,1,1,1,,,,,1100,1.0,,,,愛媛県松山市高岡町５８２－５外,E3820100157201,33.83197286,132.7211807,matched_by_id
E3820100158201,生石小学校グラウンド,愛媛県,松山市高岡町,630-3,(089)972-1219,,1,1,1,1,,,,1,8981,1.0,,,,愛媛県松山市高岡町630-3,E3820100158201,33.83218201,132.71587,matched_by_id
E3820100159201,若宮公園,愛媛県,松山市高岡町,783-29,,,1,1,1,1,,,,,1400,1.0,,,,愛媛県松山市高岡町783-29,E3820100159201,33.83527803,132.7178298,matched_by_id
E3820100160201,高岡第一公園,愛媛県,松山市高岡町,835-1,,,1,1,1,1,,,,,2400,1.0,,,,愛媛県松山市高岡町835-1,E3820100160201,33.83175094,132.71394,matched_by_id
E3820100161201,生石保育園グラウンド,愛媛県,松山市高岡町,860-1,(089)972-0803,,1,,1,1,,,,1,248,1.0,,,,愛媛県松山市高岡町860-1,E3820100161201,33.83062292,132.7127646,matched_by_id
E3820100165201,ことひら公園,愛媛県,松山市高浜町４丁目乙,74,,1,,,1,1,,,,,500,1.0,,,,愛媛県松山市高浜町４丁目乙74,E3820100165201,33.88680659,132.7032121,matched_by_id
E3820100166201,高浜保育園グラウンド,愛媛県,松山市高浜町,6-1674,(089)951-0965,1,,,1,,,,,1,506,1.0,,,,愛媛県松山市高浜町6-1674,E3820100166201,33.89305823,132.7083056,matched_by_id
E3820100167201,高浜公園,愛媛県,松山市高浜町,6-2255-1,,1,,,1,,,,,,1000,1.0,,,,愛媛県松山市高浜町6-2255-1,E3820100167201,33.89521699,132.7076465,matched_by_id
E3820100168201,たかの夢公園,愛媛県,松山市高野町甲,76-4,,1,,1,1,1,,,,,1200,1.0,,,,愛媛県松山市高野町甲76-4,E3820100168201,33.85484919,132.8115722,matched_by_id
E3820100170201,八雲保育園グラウンド,愛媛県,松山市此花町,1-8,(089)941-9771,,1,1,1,1,,,,,1690,1.0,,,,愛媛県松山市此花町1-8,E3820100170201,33.84019015,132.7809061,matched_by_id
E3820100171201,今在家公園,愛媛県,松山市今在家３－３１３－１外,,,,1,1,1,1,,,,,2000,1.0,,,,愛媛県松山市今在家３－３１３－１外,E3820100171201,33.80460022,132.790841,matched_by_id
E3820100174201,三町三角公園,愛媛県,松山市三町,3-85-2,,,1,1,1,1,,,,,300,1.0,,,,愛媛県松山市三町3-85-2,E3820100174201,33.82392032,132.798015,matched_by_id
E3820100177201,八坂公園,愛媛県,松山市三番町,1-3-3,,,1,1,1,1,,,,,1400,1.0,,,,愛媛県松山市三番町1-3-3,E3820100177201,33.83718035,132.7729964,matched_by_id
E3820100178201,新玉公園,愛媛県,松山市三番町６－４－２１外,,,,1,1,1,1,,,,,1400,1.0,,,,愛媛県松山市三番町６－４－２１外,E3820100178201,33.8381426,132.7597269,matched_by_id
E3820100179201,山越保育園グラウンド,愛媛県,松山市山越,1-19-40,(089)925-9547,,1,1,1,1,,,,1,999,1.0,,,,愛媛県松山市山越1-19-40,E3820100179201,33.85633676,132.7554524,matched_by_id
E3820100180201,日分公園,愛媛県,松山市山越,1-531-12,,,1,1,1,1,,,,,1300,1.0,,,,愛媛県松山市山越1-531-12,E3820100180201,33.85676054,132.7583447,matched_by_id
E3820100181201,姫山小学校グラウンド,愛媛県,松山市山越,3-800,(089)927-0211,1,,1,1,1,,,,1,5488,1.0,,,,愛媛県松山市山越3-800,E3820100181201,33.86440788,132.7635238,matched_by_id
E3820100182201,愛媛大学山越運動場,愛媛県,松山市山越,4-11-10,,,1,1,1,1,,,,,60100,1.0,,,,愛媛県松山市山越4-11-10,E3820100182201,33.86216559,132.7544919,matched_by_id
E3820100183201,丁地公園,愛媛県,松山市山越,5-10-3,,,1,1,1,1,,,,,1600,1.0,,,,愛媛県松山市山越5-10-3,E3820100183201,33.86028398,132.7508023,matched_by_id
E3820100184201,山越公園,愛媛県,松山市山越,5-3-1,,,1,1,1,1,,,,,3100,1.0,,,,愛媛県松山市山越5-3-1,E3820100184201,33.860441,132.752969,matched_by_id
E3820100185201,高崎公園,愛媛県,松山市山越,6-13-1,,,1,1,1,1,,,,,3200,1.0,,,,愛媛県松山市山越6-13-1,E3820100185201,33.856821,132.750997,matched_by_id
E3820100186201,学校法人新田学園グラウンド,愛媛県,松山市山西町,663,(089)951-0188,,,,1,1,,,,1,34385,1.0,,,,愛媛県松山市山西町663,E3820100186201,33.85163489,132.7261571,matched_by_id
E3820100188201,山西公園,愛媛県,松山市山西町,909,,,1,,1,1,,,,,1200,1.0,,,,愛媛県松山市山西町909,E3820100188201,33.85410177,132.7227332,matched_by_id
E3820100189201,松山中央公園,愛媛県,松山市市坪西町６２５－１外,,,,1,1,1,1,1,,,,188202,1.0,,,,愛媛県松山市市坪西町６２５－１外,E3820100189201,33.80938,132.744676,matched_by_id
E3820100190201,椿中学校グラウンド,愛媛県,松山市市坪南,1-1-20,(089)957-8650,,1,1,1,1,,,,1,10021,1.0,,,,愛媛県松山市市坪南1-1-20,E3820100190201,33.80868393,132.7541525,matched_by_id
E3820100194201,枝松公園,愛媛県,松山市枝松４－２２９－１外,,,,1,1,1,1,,,,,2900,1.0,,,,愛媛県松山市枝松４－２２９－１外,E3820100194201,33.83129557,132.7860078,matched_by_id
E3820100195201,拓南中学校グラウンド,愛媛県,松山市枝松,5-4-39,(089)931-8518,,1,1,1,1,,,,1,10473,1.0,,,,愛媛県松山市枝松5-4-39,E3820100195201,33.82830368,132.783771,matched_by_id
E3820100196201,川附公園（福音公園）,愛媛県,松山市枝松,6-14-4,,,1,1,1,1,,,,,2500,1.0,,,,愛媛県松山市枝松6-14-4,E3820100196201,33.82445,132.784796,matched_by_id
E3820100197201,愛媛大学教育学部附属中学校グラウンド,愛媛県,松山市持田町,1-5-22,(089)913-7840,,1,1,1,1,,,,1,8000,1.0,,,,愛媛県松山市持田町1-5-22,E3820100197201,33.84190115,132.7825225,matched_by_id
E3820100197202,愛媛大学教育学部附属小学校グラウンド,愛媛県,松山市持田町,1-5-22,(089)913-7840,,1,1,1,1,,,,1,5000,1.0,,,,愛媛県松山市持田町1-5-22,E3820100197202,33.84350514,132.7837564,matched_by_id
E3820100198201,松山東高等学校グラウンド,愛媛県,松山市持田町,2-2-12,(089)943-0187,,1,1,1,1,,,,1,13405,1.0,,,,愛媛県松山市持田町2-2-12,E3820100198201,33.84220563,132.7788723,matched_by_id
E3820100199201,持田若宮公園,愛媛県,松山市持田町,3-250-1,,,1,1,1,1,,,,,900,1.0,,,,愛媛県松山市持田町3-250-1,E3820100199201,33.84437357,132.781522,matched_by_id
E3820100200201,泉団地緑地,愛媛県,松山市鹿峰１３６－２外,,,,1,1,1,1,,,,,600,1.0,,,,愛媛県松山市鹿峰１３６－２外,E3820100200201,33.93905791,132.7726577,matched_by_id
E3820100202201,粟井保育園グラウンド,愛媛県,松山市鹿峰,63-2,(089)994-0193,,1,1,1,1,,,,1,512,1.0,,,,愛媛県松山市鹿峰63-2,E3820100202201,33.936442475109,132.7735144472,matched_by_id
E3820100204201,三津浜中学校グラウンド,愛媛県,松山市若葉町,8-48,(089)951-0531,,1,,1,,,,,1,7193,1.0,,,,愛媛県松山市若葉町8-48,E3820100204201,33.85604567,132.7183327,matched_by_id
E3820100205201,三津住吉公園,愛媛県,松山市住吉２－９０－１外,,,,1,,1,,,,,,1300,1.0,,,,愛媛県松山市住吉２－９０－１外,E3820100205201,33.863645,132.716343,matched_by_id
E3820100206201,重信川緑地,愛媛県,松山市重信川河川敷,,,,1,1,1,1,1,,,,125500,1.0,,,,愛媛県松山市重信川河川敷,E3820100206201,33.78473989,132.8098342,matched_by_id
E3820100208201,祝谷公園,愛媛県,松山市祝谷４－８６９－１外,,,,,1,1,1,,,,,1900,1.0,,,,愛媛県松山市祝谷４－８６９－１外,E3820100208201,33.856577,132.777409,matched_by_id
E3820100211201,祝谷北公園,愛媛県,松山市祝谷６－１０９３－１外,,,1,,1,1,1,,,,,1400,1.0,,,,愛媛県松山市祝谷６－１０９３－１外,E3820100211201,33.86065722,132.776197,matched_by_id
E3820100215201,和気公民館勝岡分館グラウンド,愛媛県,松山市勝岡町,112,,,1,,1,,,,,1,1018,1.0,,,,愛媛県松山市勝岡町112,E3820100215201,33.89832845,132.7257726,matched_by_id
E3820100216201,太衛門公園,愛媛県,松山市勝岡町,181,,,1,,1,,,,,,5400,1.0,,,,愛媛県松山市勝岡町181,E3820100216201,33.8988622,132.7280714,matched_by_id
E3820100217201,六町公園,愛媛県,松山市勝岡町,238,,,1,,1,,,,,,2200,1.0,,,,愛媛県松山市勝岡町238,E3820100217201,33.90162053,132.7241929,matched_by_id
E3820100218201,内新田公園,愛媛県,松山市勝岡町,63,,,1,,1,,,,,,3300,1.0,,,,愛媛県松山市勝岡町63,E3820100218201,33.89736611,132.7303137,matched_by_id
E3820100221201,小栗公園,愛媛県,松山市小栗,6-202-1,,,1,1,1,1,,,,,2500,1.0,,,,愛媛県松山市小栗6-202-1,E3820100221201,33.82685381,132.7552119,matched_by_id
E3820100222201,素鵞小学校グラウンド,愛媛県,松山市小坂,1-4-48,(089)931-8796,,1,1,1,1,,,,1,7229,1.0,,,,愛媛県松山市小坂1-4-48,E3820100222201,33.83421725,132.7798746,matched_by_id
E3820100224201,小坂公園,愛媛県,松山市小坂,5-306-3,,,1,1,1,1,,,,,900,1.0,,,,愛媛県松山市小坂5-306-3,E3820100224201,33.82545125,132.7810031,matched_by_id
E3820100226201,小山田公園,愛媛県,松山市小山田甲３３１－１外,1,,1,,1,1,1,,,,,1000,1.0,,,,愛媛県松山市小山田甲３３１－１外1,E3820100226201,33.99163659,132.8439168,matched_by_id
E3820100233201,中島Ｂ＆Ｇ海洋センターグラウンド,愛媛県,松山市小浜甲,1101-1,(089)997-2211,1,,1,1,1,,,,1,3000,1.0,,,,愛媛県松山市小浜甲1101-1,E3820100233201,33.96620363,132.6286402,matched_by_id
E3820100238201,庄公園,愛媛県,松山市庄甲,291,,,1,1,1,1,,,,,1700,1.0,,,,愛媛県松山市庄甲291,E3820100238201,33.97190711,132.8023647,matched_by_id
E3820100242201,伊台本村公園,愛媛県,松山市上伊台町,181-3,,1,,1,1,1,,,,,1300,1.0,,,,愛媛県松山市上伊台町181-3,E3820100242201,33.886466,132.793357,matched_by_id
E3820100244201,道後中学校グラウンド,愛媛県,松山市上市,1-3-57,(089)921-4207,,1,1,1,1,,,,1,11285,1.0,,,,愛媛県松山市上市1-3-57,E3820100244201,33.84530121,132.7893687,matched_by_id
E3820100247201,県立総合運動公園,愛媛県,松山市上野町,,,1,1,1,1,1,1,,,,115794,1.0,,,,愛媛県松山市上野町,E3820100247201,33.76878309,132.7960291,matched_by_id
E3820100248201,上野町中組公園,愛媛県,松山市上野町,504-4,,1,1,1,1,1,,,,,1700,1.0,,,,愛媛県松山市上野町504-4,E3820100248201,33.77197594,132.8040489,matched_by_id
E3820100249201,上野団地公園,愛媛県,松山市上野町乙,107-17,,1,1,1,1,1,,,,,2100,1.0,,,,愛媛県松山市上野町乙107-17,E3820100249201,33.77503936,132.7983572,matched_by_id
E3820100250201,上野町今市公園,愛媛県,松山市上野町甲１４３４－２外,,,,1,1,1,1,,,,,1900,1.0,,,,愛媛県松山市上野町甲１４３４－２外,E3820100250201,33.77645413,132.809872,matched_by_id
E3820100251201,粟井小学校グラウンド,愛媛県,松山市常竹甲,100,(089)994-1016,,,1,1,1,,,,1,8276,1.0,,,,愛媛県松山市常竹甲100,E3820100251201,33.93409605,132.7760837,matched_by_id
